"Category","CategoryOfSequences_es","FXY1","Title_es","SubTitle_es","FXY2","ElementName_es","ElementDescription_es","Note_es","noteIDs","Status"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","031000","Factor de repetición ligeramente diferida del descriptor","","","","Operational"
"99cat","seqTitle","3","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","302052","Datos de temperatura y humedad desde buques","","","","Operational"
"99cat","seqTitle","1","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","Datos de viento","101000","Repetición diferida de 1 descriptor","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","031000","Factor de repetición ligeramente diferida del descriptor","","","","Operational"
"99cat","seqTitle","3","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","302059","Datos del viento desde buques","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","Temperatura, salinidad y corriente superficiales","022067","Tipo de instrumento para la medición del perfil de la temperatura/salinidad del agua","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002171","Número de serie del instrumento para la medición del perfil de la temperatura del agua","","","","Operational"
"99cat","seqTitle","3","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","302090","Temperatura del mar/agua, gran precisión","Temperatura en superficie","","","Operational"
"99cat","seqTitle","3","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","306033","Salinidad superficial","","","","Operational"
"99cat","seqTitle","3","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","306034","Corriente superficial","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002171","Número de serie del instrumento para la medición del perfil de la temperatura del agua","Fijar en faltante(anular)","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","022067","Tipo de instrumento para la medición del perfil de la temperatura/salinidad del agua","Fijar en faltante (anular)","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","Datos de perfil de temperatura y salinidad","002038","Método de medición de la temperatura y/o salinidad del agua","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","022067","Tipo de instrumento para la medición del perfil de la temperatura/salinidad del agua","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","022068","Tipos de registrador del perfil de la temperatura del agua","","","","Operational"
"99cat","seqTitle","0","(Secuencia para la representación de datos procedentes de un instrumento sumergido, a bordo de un buque, que mide los perfiles de temperatura del mar/agua, salinidad y corriente subsuperficiales)","","002171","Número de serie del instrumento para la medición de la temperatura del agua","","","","Operational"
