TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,DESCRIPTION de L’ÉLÉMENT
Table D/09 BUFR,3 09 022,0 05 001,Latitude (précision élevée),,
Table D/09 BUFR,3 09 022,0 06 001,Longitude (précision élevée),,
Table D/09 BUFR,3 09 022,0 07 030,Altitude du sol de la station,,
Table D/09 BUFR,3 09 022,3 01 014,Période,,
Table D/09 BUFR,3 09 022,0 02 003,Type d'équipement de mesure utilisé,,
Table D/09 BUFR,3 09 022,0 02 121,Fréquence moyenne,,
Table D/09 BUFR,3 09 022,1 10 000,Répétition différée de 10 descripteurs,,
Table D/09 BUFR,3 09 022,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 022,0 07 007,Hauteur,,
Table D/09 BUFR,3 09 022,3 01 021,Latitude/longitude (précision élevée),,
Table D/09 BUFR,3 09 022,0 12 007,Température virtuelle,,
Table D/09 BUFR,3 09 022,0 12 008,Incertitude relative à la température virtuelle,,
Table D/09 BUFR,3 09 022,0 33 002,Informations sur la qualité,,
Table D/09 BUFR,3 09 022,0 11 006,Composante w,,
Table D/09 BUFR,3 09 022,0 11 112,Incertitude relative à la composante w,,
Table D/09 BUFR,3 09 022,0 33 002,Informations sur la qualité,,
Table D/09 BUFR,3 09 022,0 10 071,Résolution verticale,,
Table D/09 BUFR,3 09 022,0 27 079,Largeur horizontale du volume échantillonné,,
Table D/09 BUFR,3 09 023,3 01 001,(Séquence pour les lidars) En-tête Indicateur régional OMM et chiffre indicatif OMM de la station,,
Table D/09 BUFR,3 09 023,0 05 001,Latitude (précision élevée),,
Table D/09 BUFR,3 09 023,0 06 001,Longitude (précision élevée),,
Table D/09 BUFR,3 09 023,0 07 030,Altitude du sol de la station,,
Table D/09 BUFR,3 09 023,3 01 014,Période,,
Table D/09 BUFR,3 09 023,0 02 003,Type d'équipement de mesure utilisé,,
Table D/09 BUFR,3 09 023,3 02 004,Données sur les nuages Information générale sur les nuages,,
Table D/09 BUFR,3 09 023,3 02 005,Couche nuageuse,,
Table D/09 BUFR,3 09 023,1 14 000,Données sur la rétrodiffusion Répétition différée de 14 descripteurs,,
Table D/09 BUFR,3 09 023,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 023,0 07 007,Hauteur,,
Table D/09 BUFR,3 09 023,3 01 021,Latitude/longitude (précision élevée),,
Table D/09 BUFR,3 09 023,1 01 000,Répétition différée de 1 descripteur,Nombre de mesures de la longueur d'onde dans la donnée,
Table D/09 BUFR,3 09 023,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 023,0 02 121,Fréquence moyenne,,
Table D/09 BUFR,3 09 023,0 15 063,Rétrodiffusion atténuée,,
Table D/09 BUFR,3 09 023,0 15 064,Incertitude relative à la rétrodiffusion atténuée,,
Table D/09 BUFR,3 09 023,0 15 065,Coefficient de rétrodiffusion des particules,,
Table D/09 BUFR,3 09 023,0 15 066,Incertitude relative au coefficient de rétrodiffusion des particules,,
Table D/09 BUFR,3 09 023,0 15 067,Coefficient d'atténuation des particules,,
Table D/09 BUFR,3 09 023,0 15 068,Incertitude relative au coefficient d'atténuation des particules,,
Table D/09 BUFR,3 09 023,0 15 069,Rapport lidar des particules,,
Table D/09 BUFR,3 09 023,0 15 070,Incertitude relative au rapport lidar,,
Table D/09 BUFR,3 09 023,0 15 071,Rapport de dépolarisation des particules,,
Table D/09 BUFR,3 09 023,0 15 072,Incertitude relative au rapport de dépolarisation,,
Table D/09 BUFR,3 09 023,0 33 002,Informations sur la qualité,,
Table D/09 BUFR,3 09 023,0 10 071,Résolution verticale,,
Table D/09 BUFR,3 09 023,0 27 079,Largeur horizontale du volume échantillonné,,
Table D/09 BUFR,3 09 030,0 15 004,(Données de vol de la sonde d'ozone) (voir note 1) Facteur de correction du sondage de l'ozone (CF),,
Table D/09 BUFR,3 09 030,0 15 005,Pression partielle de l'ozone,,
Table D/09 BUFR,3 09 030,1 04 000,Répétition différée de 4 descripteurs,,
Table D/09 BUFR,3 09 030,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 030,0 04 015,Incrément temporel,"Depuis le moment du lâcher, si nécessaire, en minutes",
Table D/09 BUFR,3 09 030,0 08 006,Caractéristique du sondage vertical de l'ozone,,
Table D/09 BUFR,3 09 030,0 07 004,Pression,,
Table D/09 BUFR,3 09 030,0 15 003,Pression partielle de l'ozone mesuré (sondage),,
Table D/09 BUFR,3 09 031,0 15 004,(Données de vol de la sonde d'ozone) Facteur de correction du sondage de l'ozone (CF),,
Table D/09 BUFR,3 09 031,0 15 005,Pression partielle de l'ozone,,
Table D/09 BUFR,3 09 031,1 04 000,Répétition différée de 4 descripteurs,,
Table D/09 BUFR,3 09 031,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 031,0 04 025,Période ou décalage dans le temps,"Depuis l'heure du lâcher, en minutes",
Table D/09 BUFR,3 09 031,0 08 006,Caractéristique du sondage vertical de l'ozone,,
Table D/09 BUFR,3 09 031,0 07 004,Pression,,
Table D/09 BUFR,3 09 031,0 15 003,Pression partielle de l'ozone mesuré (sondage),,
Table D/09 BUFR,3 09 040,3 01 075,(Sondage de l'ozone non associé à un spectrophotomètre au sol) (voir note 2) Identification du sondage,,
Table D/09 BUFR,3 09 040,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 040,3 09 030,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 041,3 07 041,"(Sondage de l'ozone associé à des mesures par spectrophotomètre Brewer au sol; l'ozone total ainsi obtenu est une seule valeur) (voir note 2) Mesure de l'ozone total par un spectrophotomètre Brewer au sol, obtenue à partir d'une seule observation",Description de la partie au sol,
Table D/09 BUFR,3 09 041,3 01 075,Identification du sondage,Identification de la partie de sondage de l'ozone,
Table D/09 BUFR,3 09 041,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 041,3 09 030,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 042,3 07 042,"(Sondage de l'ozone associé à des mesures par spectrophotomètre Brewer au sol; l'ozone total ainsi obtenu est une valeur moyennée) (voir note 2) Mesure de l'ozone total par un spectrophotomètre Brewer au sol, obtenue à partir d'observations moyennées",Description de la partie au sol,
Table D/09 BUFR,3 09 042,3 01 075,Identification du sondage,Identification de la partie de sondage de l'ozone,
Table D/09 BUFR,3 09 042,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 042,3 09 030,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 043,3 07 043,"(Sondage de l'ozone associé à des mesures par spectrophotomètre Dobson au sol; l'ozone total ainsi obtenu est une seule valeur) (voir note 2) Mesure de l'ozone total par un spectrophotomètre Dobson au sol, obtenue à partir d'une seule observation",Description de la partie au sol,
Table D/09 BUFR,3 09 043,3 01 075,Identification du sondage,Identification de la partie de sondage de l'ozone,
Table D/09 BUFR,3 09 043,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 043,3 09 030,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 044,3 07 044,"(Sondage de l'ozone associé à des mesures par spectrophotomètre Dobson au sol; l'ozone total ainsi obtenu est une valeur moyennée) (voir note 2) Mesure de l'ozone total par un spectrophotomètre Dobson au sol, obtenue à partir d'observations moyennées",Description de la partie au sol,
Table D/09 BUFR,3 09 044,3 01 075,Identification du sondage,Identification de la partie de sondage de l'ozone,
Table D/09 BUFR,3 09 044,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 044,3 09 030,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 045,3 01 075,(Sondage de l'ozone non associé à un spectrophotomètre au sol) Identification du sondage,,
Table D/09 BUFR,3 09 045,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 045,3 09 031,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 046,3 07 041,"(Sondage de l'ozone associé à des mesures par spectrophotomètre Brewer au sol; l'ozone total ainsi obtenu est une seule valeur) Mesure de l'ozone total par un spectrophotomètre Brewer au sol, obtenue à partir d'une seule observation",Description de la partie au sol,
Table D/09 BUFR,3 09 046,3 01 075,Identification du sondage,Identification de la partie de sondage de l'ozone,
Table D/09 BUFR,3 09 046,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 046,3 09 031,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 047,3 07 042,"(Sondage de l'ozone associé à des mesures par spectrophotomètre Brewer au sol; l'ozone total ainsi obtenu est une valeur moyennée) Mesure de l'ozone total par un spectrophotomètre Brewer au sol, obtenue à partir d'observations moyennées",Description de la partie au sol,
Table D/09 BUFR,3 09 047,3 01 075,Identification du sondage,Identification de la partie de sondage de l'ozone,
Table D/09 BUFR,3 09 047,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 047,3 09 031,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 048,3 07 043,"(Sondage de l'ozone associé à des mesures par spectrophotomètre Dobson au sol; l'ozone total ainsi obtenu est une seule valeur) Mesure de l'ozone total par un spectrophotomètre Dobson au sol, obtenue à partir d'une seule observation",Description de la partie au sol,
Table D/09 BUFR,3 09 048,3 01 075,Identification du sondage,Identification de la partie de sondage de l'ozone,
Table D/09 BUFR,3 09 048,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 048,3 09 031,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 049,3 07 044,"(Sondage de l'ozone associé à des mesures par spectrophotomètre Dobson au sol; l'ozone total ainsi obtenu est une valeur moyennée) Mesure de l'ozone total par un spectrophotomètre Dobson au sol, obtenue à partir d'observations moyennées",Description de la partie au sol,
Table D/09 BUFR,3 09 049,3 01 075,Identification du sondage,Identification de la partie de sondage de l'ozone,
Table D/09 BUFR,3 09 049,3 01 076,Instrument de sondage de l'ozone,,
Table D/09 BUFR,3 09 049,3 09 031,Données de vol de la sonde d'ozone,,
Table D/09 BUFR,3 09 050,3 01 110,"(Séquence pour la représentation des données d'observation PILOT, PILOT SHIP et PILOT MOBIL, la pression servant de coordonnée verticale) Identification du site du lâcher et instruments de mesure du vent",,
Table D/09 BUFR,3 09 050,3 01 113,Date et heure du lâcher,,
Table D/09 BUFR,3 09 050,3 01 114,Coordonnées horizontales et verticales du site du lâcher,,
Table D/09 BUFR,3 09 050,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 050,0 31 002,Facteur élargi de répétition différée du descripteur,,
Table D/09 BUFR,3 09 050,3 03 050,Données sur le vent au niveau de pression correspondant à la position de la radiosonde,,
Table D/09 BUFR,3 09 050,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 050,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 050,3 03 051,Données sur le cisaillement du vent au niveau de pression correspondant à la position de la radiosonde,,
Table D/09 BUFR,3 09 051,3 01 110,"(Séquence pour la représentation des données d'observation PILOT, PILOT SHIP et PILOT MOBIL, l'altitude servant de coordonnée verticale) Identification du site du lâcher et instruments de mesure du vent",,
Table D/09 BUFR,3 09 051,3 01 113,Date et heure du lâcher,,
