TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,DESCRIPTION de L’ÉLÉMENT
Table D/09 BUFR,3 09 055,3 01 114,Coordonnées horizontales et verticales du site du lâcher,,
Table D/09 BUFR,3 09 055,0 10 004,Pression,,
Table D/09 BUFR,3 09 055,3 02 032,Données sur la température et l'humidité,,
Table D/09 BUFR,3 09 055,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),,
Table D/09 BUFR,3 09 055,0 02 002,Type d'instrument pour la mesure du vent,,
Table D/09 BUFR,3 09 055,0 11 001,Direction du vent,,
Table D/09 BUFR,3 09 055,0 11 002,Vitesse du vent,,
Table D/09 BUFR,3 09 055,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mis à valeur manquante (annuler),
Table D/09 BUFR,3 09 055,0 20 003,Temps présent,,
Table D/09 BUFR,3 09 055,3 02 049,Données sur les nuages transmises avec les sondages verticaux,,
Table D/09 BUFR,3 09 055,0 22 043,Température de la mer/de l'eau,,
Table D/09 BUFR,3 09 055,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 055,0 31 002,Facteur élargi de répétition différée du descripteur,,
Table D/09 BUFR,3 09 055,3 03 055,"Données sur la température, le point de rosée, l'humidité relative et le vent à la hauteur de la radiosonde (voir notes 4, 5 et 6)",,
Table D/09 BUFR,3 09 056,3 01 150,(Séquence pour la représentation des données de radiosondage à la descente) Identifiant du WIGOS,,
Table D/09 BUFR,3 09 056,3 01 111,"Identification du site du lâcher et des instruments de mesure du vent, de la pression, de la température et de l'humidité (PTU)",,
Table D/09 BUFR,3 09 056,3 01 128,Supplément d'information sur le radiosondage,Valable aussi pour la descente (voir la note 10),
Table D/09 BUFR,3 09 056,3 01 113,Date et heure du lâcher,,
Table D/09 BUFR,3 09 056,0 08 091,Caractéristiques des coordonnées,= 2 Début de l'observation,
Table D/09 BUFR,3 09 056,3 01 021,Latitude/longitude (précision élevée),,
Table D/09 BUFR,3 09 056,0 07 007,Hauteur,Début de la descente de la radiosonde au-dessus du niveau moyen de la mer,
Table D/09 BUFR,3 09 056,0 08 091,Caractéristiques des coordonnées,Mis à valeur manquante (annuler),
Table D/09 BUFR,3 09 056,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 056,0 31 002,Facteur élargi de répétition différée du descripteur,,
Table D/09 BUFR,3 09 056,3 03 056,"Données sur la température, le point de rosée et le vent au niveau de pression correspondant à la position de la radiosonde, pression et hauteur géopotentielle étant indiquées avec une plus grande précision",(Voir les notes 11 et 12),
Table D/09 BUFR,3 09 056,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 056,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 056,3 03 051,Données sur le cisaillement du vent au niveau de pression correspondant à la position de la radiosonde,,
Table D/09 BUFR,3 09 057,3 01 150,"(Séquence pour la représentation des données d'observation TEMP, TEMP SHIP et TEMP MOBIL avec une plus grande précision pour ce qui est de la pression et de la hauteur géopotentielle) Identifiant du WIGOS",,
Table D/09 BUFR,3 09 057,3 01 111,"Identification du site du lâcher et instruments de mesure du vent, de la pression, de la température et de l'humidité (PTU)",,
Table D/09 BUFR,3 09 057,3 01 128,Supplément d'information sur le radiosondage,,
Table D/09 BUFR,3 09 057,3 01 113,Date et heure du lâcher,,
Table D/09 BUFR,3 09 057,3 01 114,Coordonnées horizontales et verticales du site du lâcher,,
Table D/09 BUFR,3 09 057,3 02 049,Données sur les nuages transmises avec les sondages verticaux,,
Table D/09 BUFR,3 09 057,0 22 043,Température de la mer/de l'eau,,
Table D/09 BUFR,3 09 057,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 057,0 31 002,Facteur élargi de répétition différée du descripteur,,
Table D/09 BUFR,3 09 057,3 03 056,"Données sur la température, le point de rosée et le vent au niveau de pression correspondant à la position de la radiosonde, pression et hauteur géopotentielle étant indiquées avec une plus grande précision",,
Table D/09 BUFR,3 09 057,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 057,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 057,3 03 051,Données sur le cisaillement du vent au niveau de pression correspondant à la position de la radiosonde,,
Table D/09 BUFR,3 09 060,3 01 123,(Radiosondage – enregistrement complet avec l'observation en surface) Radiosondage – en-tête complet,,
Table D/09 BUFR,3 09 060,3 01 121,Radiosondage – données sur le lâcher,,
Table D/09 BUFR,3 09 060,3 02 050,Radiosondage – observation en surface,,
Table D/09 BUFR,3 09 060,3 03 040,Radiosondage – durée du vol et données sur la fin du sondage,,
Table D/09 BUFR,3 09 061,3 01 120,(Sonde PTU — données brutes) Radiosondage – en-tête abrégé et données sur le lâcher,,
Table D/09 BUFR,3 09 061,0 08 041,Caractéristique des données,= 6 Observation au niveau de vol,
Table D/09 BUFR,3 09 061,3 01 122,Date et heure (au centième de seconde près),,
Table D/09 BUFR,3 09 061,2 01 131,Changer le champ de données,,
Table D/09 BUFR,3 09 061,2 02 129,Changer d'échelle,,
Table D/09 BUFR,3 09 061,0 25 069,Corrections de pression du niveau de vol,,
Table D/09 BUFR,3 09 061,0 07 004,Pression,,
Table D/09 BUFR,3 09 061,2 02 000,Changement d'échelle,Annuler,
Table D/09 BUFR,3 09 061,2 01 000,Changement du champ de données,Annuler,
Table D/09 BUFR,3 09 061,0 33 007,Degré de confiance,Pression,
Table D/09 BUFR,3 09 061,0 33 035,Contrôle de qualité manuel/automatique,Pression,
Table D/09 BUFR,3 09 061,0 33 015,Indicateur de vérification de la qualité des données,Pression,
Table D/09 BUFR,3 09 061,0 13 009,Humidité relative,,
Table D/09 BUFR,3 09 061,0 33 007,Degré de confiance,Humidité relative,
Table D/09 BUFR,3 09 061,0 33 035,Contrôle de qualité manuel/automatique,Humidité relative,
Table D/09 BUFR,3 09 061,0 33 015,Indicateur de vérification de la qualité des données,Humidité relative,
Table D/09 BUFR,3 09 061,0 02 013,Correction du rayonnement solaire et infrarouge,,
Table D/09 BUFR,3 09 061,0 12 101,Température/température de l'air,,
Table D/09 BUFR,3 09 061,0 33 007,Degré de confiance,Température,
Table D/09 BUFR,3 09 061,0 33 035,Contrôle de qualité manuel/automatique,Température,
Table D/09 BUFR,3 09 061,0 33 015,Indicateur de vérification de la qualité des données,Température,
Table D/09 BUFR,3 09 062,3 01 120,(Sonde GPS — données brutes non lissées sur le vent) Radiosondage – en-tête abrégé et données sur le lâcher,,
Table D/09 BUFR,3 09 062,0 08 041,Caractéristique des données,= 6 Observation au niveau de vol,
Table D/09 BUFR,3 09 062,3 01 122,Date et heure (au centième de seconde près),,
Table D/09 BUFR,3 09 062,0 05 001,Latitude (précision élevée),,
Table D/09 BUFR,3 09 062,0 33 035,Contrôle de qualité manuel/automatique,Latitude,
Table D/09 BUFR,3 09 062,0 33 015,Indicateur de vérification de la qualité des données,Latitude,
Table D/09 BUFR,3 09 062,0 06 001,Longitude (précision élevée),,
Table D/09 BUFR,3 09 062,0 33 035,Contrôle de qualité manuel/automatique,Longitude,
Table D/09 BUFR,3 09 062,0 33 015,Indicateur de vérification de la qualité des données,Longitude,
Table D/09 BUFR,3 09 062,0 07 007,Hauteur,,
Table D/09 BUFR,3 09 062,0 33 035,Contrôle de qualité manuel/automatique,Hauteur,
Table D/09 BUFR,3 09 062,0 33 015,Indicateur de vérification de la qualité des données,Hauteur,
Table D/09 BUFR,3 09 062,0 11 003,Composante u,,
Table D/09 BUFR,3 09 062,0 33 035,Contrôle de qualité manuel/automatique,Composante u,
Table D/09 BUFR,3 09 062,0 33 015,Indicateur de vérification de la qualité des données,Composante u,
Table D/09 BUFR,3 09 062,0 11 004,Composante v,,
Table D/09 BUFR,3 09 062,0 33 035,Contrôle de qualité manuel/automatique,Composante v,
Table D/09 BUFR,3 09 062,0 33 015,Indicateur de vérification de la qualité des données,Composante v,
Table D/09 BUFR,3 09 062,0 33 007,Degré de confiance,Pour les données brutes non lissées sur le vent recueillies par la sonde GPS,
Table D/09 BUFR,3 09 063,3 01 120,(Sonde GPS — données brutes lissées sur le vent) Radiosondage – en-tête abrégé et données sur le lâcher,,
Table D/09 BUFR,3 09 063,0 08 041,Caractéristique des données,= 6 Observation au niveau de vol,
Table D/09 BUFR,3 09 063,3 01 122,Date et heure (au centième de seconde près),,
Table D/09 BUFR,3 09 063,0 05 001,Latitude (précision élevée),,
Table D/09 BUFR,3 09 063,0 33 035,Contrôle de qualité manuel/automatique,Latitude,
Table D/09 BUFR,3 09 063,0 33 015,Indicateur de vérification de la qualité des données,Latitude,
Table D/09 BUFR,3 09 063,0 06 001,Longitude (précision élevée),,
Table D/09 BUFR,3 09 063,0 33 035,Contrôle de qualité manuel/automatique,Longitude,
Table D/09 BUFR,3 09 063,0 33 015,Indicateur de vérification de la qualité des données,Longitude,
Table D/09 BUFR,3 09 063,0 07 007,Hauteur,,
Table D/09 BUFR,3 09 063,0 33 035,Contrôle de qualité manuel/automatique,Hauteur,
Table D/09 BUFR,3 09 063,0 33 015,Indicateur de vérification de la qualité des données,Hauteur,
Table D/09 BUFR,3 09 063,0 11 003,Composante u,,
Table D/09 BUFR,3 09 063,0 33 035,Contrôle de qualité manuel/automatique,Composante u,
Table D/09 BUFR,3 09 063,0 33 015,Indicateur de vérification de la qualité des données,Composante u,
Table D/09 BUFR,3 09 063,0 11 004,Composante v,,
Table D/09 BUFR,3 09 063,0 33 035,Contrôle de qualité manuel/automatique,Composante v,
Table D/09 BUFR,3 09 063,0 33 015,Indicateur de vérification de la qualité des données,Composante v,
Table D/09 BUFR,3 09 063,0 33 007,Degré de confiance,Pour les données brutes lissées sur le vent recueillies par la sonde GPS,
Table D/09 BUFR,3 09 064,3 01 120,(Sonde PTU — données après traitement) Radiosondage – en-tête abrégé et données sur le lâcher,,
Table D/09 BUFR,3 09 064,0 08 041,Caractéristique des données,= 6 Observation au niveau de vol,
Table D/09 BUFR,3 09 064,3 01 122,Date et heure (au centième de seconde près),,
Table D/09 BUFR,3 09 064,2 01 131,Changer le champ de données,,
Table D/09 BUFR,3 09 064,2 02 129,Changer d'échelle,,
Table D/09 BUFR,3 09 064,1 04 002,Répéter 4 descripteurs 2 fois,,
Table D/09 BUFR,3 09 064,0 25 069,Corrections de pression du niveau de vol,,
Table D/09 BUFR,3 09 064,0 07 004,Pression,,
Table D/09 BUFR,3 09 064,0 33 035,Contrôle de qualité manuel/automatique,Pression,
Table D/09 BUFR,3 09 064,0 33 015,Indicateur de vérification de la qualité des données,Pression,
Table D/09 BUFR,3 09 064,0 13 003,Humidité relative,,
Table D/09 BUFR,3 09 064,0 33 035,Contrôle de qualité manuel/automatique,Humidité relative,
Table D/09 BUFR,3 09 064,0 33 015,Indicateur de vérification de la qualité des données,Humidité relative,
Table D/09 BUFR,3 09 064,2 02 000,Changement d'échelle,Annuler,
Table D/09 BUFR,3 09 064,2 01 000,Changement du champ de données,Annuler,
Table D/09 BUFR,3 09 064,1 04 002,Répéter 4 descripteurs 2 fois,,
Table D/09 BUFR,3 09 064,0 02 013,Correction du rayonnement solaire et infrarouge,,
Table D/09 BUFR,3 09 064,0 12 101,Température/température de l'air,,
Table D/09 BUFR,3 09 064,0 33 035,Contrôle de qualité manuel/automatique,Température,
Table D/09 BUFR,3 09 064,0 33 015,Indicateur de vérification de la qualité des données,Température,
Table D/09 BUFR,3 09 064,0 12 103,Point de rosée,,
Table D/09 BUFR,3 09 064,0 33 035,Contrôle de qualité manuel/automatique,Température du point de rosée,
Table D/09 BUFR,3 09 064,0 33 015,Indicateur de vérification de la qualité des données,Température du point de rosée,
Table D/09 BUFR,3 09 064,0 10 009,Hauteur géopotentielle,,
Table D/09 BUFR,3 09 064,0 33 035,Contrôle de qualité manuel/automatique,Hauteur géopotentielle,
Table D/09 BUFR,3 09 064,0 33 015,Indicateur de vérification de la qualité des données,Hauteur géopotentielle,
Table D/09 BUFR,3 09 065,3 01 120,(Sonde GPS — données après traitement) Radiosondage – en-tête abrégé et données sur le lâcher,,
Table D/09 BUFR,3 09 065,0 08 041,Caractéristique des données,= 6 Observation au niveau de vol,
Table D/09 BUFR,3 09 065,3 01 122,Date et heure (au centième de seconde près),,
Table D/09 BUFR,3 09 065,0 05 001,Latitude (précision élevée),,
Table D/09 BUFR,3 09 065,0 33 035,Contrôle de qualité manuel/automatique,Latitude,
Table D/09 BUFR,3 09 065,0 33 015,Indicateur de vérification de la qualité des données,Latitude,
Table D/09 BUFR,3 09 065,0 06 001,Longitude (précision élevée),,
Table D/09 BUFR,3 09 065,0 33 035,Contrôle de qualité manuel/automatique,Longitude,
Table D/09 BUFR,3 09 065,0 33 015,Indicateur de vérification de la qualité des données,Longitude,
Table D/09 BUFR,3 09 065,0 07 007,Hauteur,,
Table D/09 BUFR,3 09 065,0 33 035,Contrôle de qualité manuel/automatique,Hauteur,
Table D/09 BUFR,3 09 065,0 33 015,Indicateur de vérification de la qualité des données,Hauteur,
Table D/09 BUFR,3 09 065,0 11 003,Composante u,,
Table D/09 BUFR,3 09 065,0 33 035,Contrôle de qualité manuel/automatique,Composante u,
Table D/09 BUFR,3 09 065,0 33 015,Indicateur de vérification de la qualité des données,Composante u,
Table D/09 BUFR,3 09 065,0 11 004,Composante v,,
Table D/09 BUFR,3 09 065,0 33 035,Contrôle de qualité manuel/automatique,Composante v,
Table D/09 BUFR,3 09 065,0 33 015,Indicateur de vérification de la qualité des données,Composante v,
Table D/09 BUFR,3 09 066,3 01 120,(Niveaux standard et significatifs) Radiosondage – en-tête abrégé et données sur le lâcher,,
Table D/09 BUFR,3 09 066,0 08 041,Caractéristique des données,= 6 Observation au niveau de vol,
Table D/09 BUFR,3 09 066,3 01 122,Date et heure (au centième de seconde près),,
Table D/09 BUFR,3 09 066,0 08 040,Caractéristique du niveau de vol,,
Table D/09 BUFR,3 09 066,2 01 131,Changer le champ de données,,
Table D/09 BUFR,3 09 066,2 02 129,Changer d'échelle,,
Table D/09 BUFR,3 09 066,0 25 069,Corrections de pression du niveau de vol,,
Table D/09 BUFR,3 09 066,0 07 004,Pression,,
Table D/09 BUFR,3 09 066,0 13 003,Humidité relative,,
Table D/09 BUFR,3 09 066,2 02 000,Changement d'échelle,Annuler,
Table D/09 BUFR,3 09 066,2 01 000,Changement du champ de données,Annuler,
Table D/09 BUFR,3 09 066,0 02 013,Correction du rayonnement solaire et infrarouge,,
Table D/09 BUFR,3 09 066,0 12 101,Température/température de l'air,,
Table D/09 BUFR,3 09 066,0 12 103,Point de rosée,,
Table D/09 BUFR,3 09 066,0 10 009,Hauteur géopotentielle,,
Table D/09 BUFR,3 09 066,0 10 007,Hauteur,,
Table D/09 BUFR,3 09 066,0 11 002,Vitesse du vent,,
Table D/09 BUFR,3 09 066,0 11 001,Direction du vent,,
Table D/09 BUFR,3 09 070,0 01 035,(Profil vertical pour les données de la prévision numérique du temps) Identification Centre d'origine/de production,,
Table D/09 BUFR,3 09 070,0 01 032,Application de production,,
Table D/09 BUFR,3 09 070,0 01 015,Nom de la station ou du site,,
Table D/09 BUFR,3 09 070,0 01 063,Indicateur d'emplacement OACI,,
Table D/09 BUFR,3 09 070,3 01 001,Indicateur régional OMM et chiffre indicatif OMM de la station,,
Table D/09 BUFR,3 09 070,3 01 011,"Emplacement et heure de référence Année, mois, jour",,
Table D/09 BUFR,3 09 070,3 01 012,"Heure, minute",Heure de référence de la prévision (T-zéro),
Table D/09 BUFR,3 09 070,3 01 021,Latitude/longitude (précision élevée),,
Table D/09 BUFR,3 09 070,2 07 001,"Augmenter l'échelle, la valeur de référence et le champ de données",/voir colonne de gauche,
Table D/09 BUFR,3 09 070,,Augmenter le facteur d'échelle de 1; la valeur de référence et le champ de données sont recalculés conformément à la définition de l'opérateur 2 07 YYY de la Table C,,
Table D/09 BUFR,3 09 070,0 10 001,Hauteur de la surface terrestre (voir note 7),Altitude de la station (autre qu'à l'aide de coordonnées),
Table D/09 BUFR,3 09 070,2 07 000,"Augmentation de l'échelle, de la valeur de référence et du champ de données",Annuler,
Table D/09 BUFR,3 09 070,0 08 086,Caractéristique verticale pour la prévision numérique du temps,Bit 9 mis à 1 (altitude virtuelle de la station),
Table D/09 BUFR,3 09 070,0 07 030,Altitude du sol de la station,/voir colonne de gauche,
Table D/09 BUFR,3 09 070,,"Altitude fournie par le modèle, pour la de gauche latitude et la longitude de la station. Comme cela est indiqué par 0 08 086, cette valeur est à la fois propre à la station et au modèle",,
Table D/09 BUFR,3 09 070,0 25 031,Métadonnées sur le profil vertical Méthode d'éclaircissage des profils verticaux établis par la prévision numérique du temps (voir note 8),,
Table D/09 BUFR,3 09 070,0 08 021,Caractéristique temporelle,"= 4 Prévision, = 16 Analyse, = 27 Première approximation",
Table D/09 BUFR,3 09 070,0 04 014,Incrément temporel,/voir colonne de gauche,
Table D/09 BUFR,3 09 070,,"Heure de validité de la prévision exprimée sous forme de différence par rapport à l'heure de référence. Dans le cas d'une analyse, soit une prévision à 00 h, la valeur est mise à zéro",,
Table D/09 BUFR,3 09 070,0 10 004,Données ponctuelles à l'altitude de la station (y compris les données intégrées sur la colonne) Pression,,
Table D/09 BUFR,3 09 070,0 10 051,Pression ramenée au niveau moyen de la mer,,
Table D/09 BUFR,3 09 070,0 10 009,Hauteur géopotentielle,,
Table D/09 BUFR,3 09 070,0 20 010,Nébulosité (totale),,
Table D/09 BUFR,3 09 070,0 13 095,Colonne totale de vapeur d'eau,,
Table D/09 BUFR,3 09 070,1 28 000,Boucle de répétition pour les différents niveaux Répétition différée de 28 descripteurs,,
Table D/09 BUFR,3 09 070,0 31 002,Facteur élargi de répétition différée du descripteur,/voir colonne de gauche,
Table D/09 BUFR,3 09 070,,Le nombre de niveaux utilisés dans le profil vertical est déterminé par ce facteur de répétition. Il est arbitraire et comprend toutes les isohypses au-dessus du sol et toutes les isobares,,
Table D/09 BUFR,3 09 070,1 13 000,Données sur les coordonnées pression Répétition différée de 13 descritpeur,,
Table D/09 BUFR,3 09 070,0 31 000,Facteur de répétition légèrement différée du descripteur,"= 1 Quand la pression est utilisée comme coordonée verticale, = 0 Dans le cas contraire",
Table D/09 BUFR,3 09 070,0 08 086,Caractéristique verticale pour la prévision numérique du temps,Mettre à 0 le bit 1 et donner aux autres bits la valeur qui convient,
Table D/09 BUFR,3 09 070,0 07 004,Pression (voir note 9),,
Table D/09 BUFR,3 09 070,0 11 001,Direction du vent,Degrés vrais,
Table D/09 BUFR,3 09 070,0 11 002,Vitesse du vent,m/s,
Table D/09 BUFR,3 09 070,0 12 101,Température/température de l'air,,
Table D/09 BUFR,3 09 070,0 12 102,Température du thermomètre mouillé,,
Table D/09 BUFR,3 09 070,0 12 103,Point de rosée,,
Table D/09 BUFR,3 09 070,0 10 009,Hauteur géopotentielle,,
Table D/09 BUFR,3 09 070,1 03 000,Répétition différée de 3 descripteurs,,
Table D/09 BUFR,3 09 070,1 03 000,Répétition différée de 3 descripteurs,,
Table D/09 BUFR,3 09 070,0 31 000,Facteur de répétition légèrement différée du descripteur,= 1 Quand des données facultatives améliorée du modèle sont insérées,
Table D/09 BUFR,3 09 070,0 11 021,Tourbillon relatif,,
Table D/09 BUFR,3 09 070,0 11 022,Divergence,,
Table D/09 BUFR,3 09 070,0 11 005,Composante w,Mouvement vertical,
Table D/09 BUFR,3 09 070,1 04 000,Données à 10 mètres au-dessus du sol Répétition différée de 4 descripteurs,,
Table D/09 BUFR,3 09 070,0 31 000,Facteur de répétition légèrement différée du descripteur,"= 1 Quand la coordonnée verticale correspond à 10 m au-dessus du sol, = 0 Dans le cas contraire",
Table D/09 BUFR,3 09 070,0 08 086,Caractéristique verticale pour la prévision numérique du temps,Bit 1 et bit 8 mis à 1,
Table D/09 BUFR,3 09 070,0 07 006,Hauteur au-dessus de la station,= 10 m,
Table D/09 BUFR,3 09 070,0 11 001,Direction du vent,Degrés vrais,
Table D/09 BUFR,3 09 070,0 11 002,Vitesse du vent,m/s,
Table D/09 BUFR,3 09 070,1 05 000,Données à 2 mètres au-dessus du sol Répétition différée de 5 descripteurs,,
Table D/09 BUFR,3 09 070,0 31 000,Facteur de répétition légèrement différée du descripteur,"= 1 Quand la coordonnée verticale correspond à 2 m au-dessus du sol, = 0 Dans le cas contraire",
Table D/09 BUFR,3 09 070,0 08 086,Caractéristique verticale pour la prévision numérique du temps,,
Table D/09 BUFR,3 09 070,0 07 006,Hauteur au-dessus de la station,= 2 m,
Table D/09 BUFR,3 09 070,0 12 101,Température/température de l'air,,
Table D/09 BUFR,3 09 070,0 12 102,Température du thermomètre mouillé,,
Table D/09 BUFR,3 09 070,0 12 103,Point de rosée,,
Table D/09 BUFR,3 09 071,3 01 001,(Séquence pour la représentation des données d'observation PILOT dans la zone de responsabilité de l'ASECNA Indicator régional OMM et chiffre indicatif OMM de la station,,
Table D/09 BUFR,3 09 071,0 02 014,Technique de poursuite/état du système utilisé,,
Table D/09 BUFR,3 09 071,0 02 003,Type d'équipement de mesure utilisé,,
Table D/09 BUFR,3 09 071,3 01 113,Date et heure du lâcher,,
Table D/09 BUFR,3 09 071,3 01 114,Coordonnées horizontales et verticales du site du lâcher,,
Table D/09 BUFR,3 09 071,3 01 023,Latitude/longitude (faible précision),,
Table D/09 BUFR,3 09 071,0 07 030,Altitude du sol de la station,,
Table D/09 BUFR,3 09 071,0 07 007,Hauteur,Lâcher du ballon,
Table D/09 BUFR,3 09 071,1 03 000,Répétition différée de 3 descripteurs,,
Table D/09 BUFR,3 09 071,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 071,0 07 009,Hauteur géopotentielle,,
Table D/09 BUFR,3 09 071,0 11 001,Direction du vent,,
Table D/09 BUFR,3 09 071,0 11 002,Vitesse du vent,,
