TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,NOM de L’ÉLÉMENT
Table D/02 BUFR,3 02 051,0 08 051,Identificateur pour le nombre de valeurs manquantes dans le calcul des statistiques,,
Table D/02 BUFR,3 02 051,0 08 020,Nombre total de valeurs manquantes (pour le calcul du total ou de la moyenne),,
Table D/02 BUFR,3 02 052,0 07 032,(Données sur la température et l'humidité depuis le navire) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure de la température et de l'humidité,
Table D/02 BUFR,3 02 052,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Mesure de la température et de l'humidité,
Table D/02 BUFR,3 02 052,0 12 101,Température/température de l'air,Échelle: 2,
Table D/02 BUFR,3 02 052,0 02 039,Méthode de mesure de la température du thermomètre mouillé,,
Table D/02 BUFR,3 02 052,0 12 102,Température du thermomètre mouillé,Échelle: 2,
Table D/02 BUFR,3 02 052,0 12 103,Point de rosée,Échelle: 2,
Table D/02 BUFR,3 02 052,0 13 003,Humidité relative,,
Table D/02 BUFR,3 02 053,0 07 032,(Données sur la visibilité depuis le navire) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure de la visibilité,
Table D/02 BUFR,3 02 053,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,Mesure de la visibilité,
Table D/02 BUFR,3 02 053,0 20 001,Visibilité horizontale,,
Table D/02 BUFR,3 02 054,3 02 052,(Données «instantanées» depuis le navire) Données sur la température et l'humidité depuis le navire,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 054,3 02 053,Données sur la visibilité depuis le navire,,
Table D/02 BUFR,3 02 054,0 07 033,Hauteur du capteur au-dessus de la surface de l'eau,,
Table D/02 BUFR,3 02 054,3 02 034,Précipitations sur les 24 heures écoulées,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 054,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),,
Table D/02 BUFR,3 02 054,3 02 004,Information générale sur les nuages,,
Table D/02 BUFR,3 02 054,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 054,0 31 001,Facteur de répétition différée du descripteur,,
Table D/02 BUFR,3 02 054,3 02 005,Couche nuageuse,,
Table D/02 BUFR,3 02 055,0 20 031,(Givrage et glace) Dépôt de glace (épaisseur),,
Table D/02 BUFR,3 02 055,0 20 032,Vitesse d'accumulation de la glace (estimation),,
Table D/02 BUFR,3 02 055,0 20 033,Cause de l'accumulation de la glace,,
Table D/02 BUFR,3 02 055,0 20 034,Concentration des glaces de mer,,
Table D/02 BUFR,3 02 055,0 20 035,Quantité et type de glace,,
Table D/02 BUFR,3 02 055,0 20 036,Situation des glaces,,
Table D/02 BUFR,3 02 055,0 20 037,Évolution de la glace,,
Table D/02 BUFR,3 02 055,0 20 038,Direction de la lisière des glaces,,
