TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 08 092,Expression de l'incertitude de mesure,Mis à valeur manquante (annuler)
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 33 066,Indicateur de qualité du vecteur de mouvement atmosphérique,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,,Données sur les nuages et microphysique des nuages (fait référence à l'image nominale utilisée pour déterminer l'altitude),
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 20 081,Étendue de la couche nuageuse dans le secteur,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 20 012,Type de nuage,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 20 056,Phase des nuages,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,1 17 000,Répétition différée de 17 descripteurs,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 31 001,Facteur de répétition différée du descripteur,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 08 023,Statistiques de premier ordre,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 20 016,Pression au sommet des nuages,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 08 092,Expression de l'incertitude de mesure,= 0 Incertitude type
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 08 003,Caractéristique verticale (observations par satellite),= 2 Sommet de la couche nuageuse
